text@mvs1985m	@mvs1985m	0.184	21.22	эээ // в ситуации когда во сне ааа //  принимается какое-то решение ты просыпаешься со мной это много раз происходило ты просыпаешься и у тебя ааа // есть ответ на вопрос с... на который у тебя вечером ещё ответа не было //  вот ааа в этой ситуации эээ что нам это говорит // а оо // эээ ну // чем является там ч... моё я да ? / потому что / вот очевидное решение и какие-то ответы могут искаться с в моё полное отсутствие когда я сплю
text@mvs1985m	@mvs1985m	28.862	29.184	угу
text@mvs1985m	@mvs1985m	45.947	46.254	угу
text@mvs1985m	@mvs1985m	68.879	69.209	угу
text@mvs1985m	@mvs1985m	73.33	73.923	и глядит
text@mvs1985m	@mvs1985m	112.1	112.473	угу
text@mvs1985m	@mvs1985m	126.422	126.684	угу
text@mvs1985m	@mvs1985m	138.011	138.333	угу
text@mvs1985m	@mvs1985m	159.422	160.21	она грустит
text@mvs1985m	@mvs1985m	160.709	161.048	#дыхание#
text@mvs1985m	@mvs1985m	183.702	188.278	ну нас подводят к этому проклятому вопросу о том что такое сознание и / на который
text@mvs1985m	@mvs1985m	190.748	191.07	угу
text@mvs1985m	@mvs1985m	224.199	225.538	утро вечера мудреннее
text@mvs1985m	@mvs1985m	228.275	228.588	угу
text@mvs1985m	@mvs1985m	236.278	238.024	#смеётся#
text@mvs1985m	@mvs1985m	241.591	249.676	эээ ээ как так ээ / откуда ээ / берётся потому что прокрастинация это / результат ээ ну у / получается сознательной совсем сознательной деятельности человека
text@mvs1985m	@mvs1985m	250.424	254.593	эээ то есть мозг он отдыхает он // любит // отдыхать но он / отдхает
text@mvs1985m	@mvs1985m	264.631	265.725	#смеётся#
text@mvs1985m	@mvs1985m	310.604	311.053	угу
text@mvs1985m	@mvs1985m	315.039	315.395	угу
text@mvs1985m	@mvs1985m	339.946	340.793	#смеётся#
text@mvs1985m	@mvs1985m	364.355	365.592	победят другие рычажки
text@mvs1985m	@mvs1985m	379.972	386.963	#смеётся#
text@mvs1985m	@mvs1985m	387.192	388.583	#вдох#
text@mvs1985m	@mvs1985m	388.583	390.608	это тоже потрясающе знакомо да
text@mvs1985m	@mvs1985m	407.549	409.193	это слишком знакомо да
text@mvs1985m	@mvs1985m	418.413	421.693	#смеётся#
text@mvs1985m	@mvs1985m	426.423	429.838	великие мира сего тоже страдают этой проблемой
text@mvs1985m	@mvs1985m	430.176	431.896	#смеётся#
text@mvs1985m	@mvs1985m	442.933	453.657	а что мы такое аа  что мы такое ааа пытаемся сохранить какой мы ресурс / экономим что вот мы / предпочитаем // три дня работать вместо недели притом что за эту неделю мы ничего полезного не делаем
text@mvs1985m	@mvs1985m	472.137	475.287	#смеётся#
text@mvs1985m	@mvs1985m	477.667	478.547	#смеётся#
text@vad1961m	@vad1961m	8.672	9.162	ну да
text@vad1961m	@vad1961m	21.388	28.568	ну ууу да так наше я ваше я мы же сегодня уже про это говорили // его главная это задача это выбрать из возможных программ 
text@vad1961m	@vad1961m	29.298	36.692	а программы генерируются нашей глобальной нейросетью которая // собственно / что делает - то по ходу нашей жизни
text@vad1961m	@vad1961m	37.117	40.314	она формирует то что называется информационную модель мира
text@vad1961m	@vad1961m	41.52	45.764	то есть мы учимся мы копим информацию / в нашем мозге возникает слепок внешнего мира
text@vad1961m	@vad1961m	46.494	50.4	и дальше мы эту / модель // используем прежде всего для прогноза
text@vad1961m	@vad1961m	50.881	53.361	прогноза успеха тех / того или иного поведения
text@vad1961m	@vad1961m	53.795	59.874	и судя по всему эта модель она у нас как бы // проявляется во многом на речевом уровне
text@vad1961m	@vad1961m	60.345	64.838	но возникает - то она у тех же животных на уровне как бы такого образного мышления
text@vad1961m	@vad1961m	65.18	68.62	пусть в очень примитивных вариантах // но она же возникает
text@vad1961m	@vad1961m	69.259	76.14	потому что // вот сидит там не знаю / с... собака перед / тортом да где-нибудь на кухне // капает слюной глядит / но не трогает !
text@vad1961m	@vad1961m	76.574	80.11	она же там что-то прогнозирует да ? / это типа нельзя там ходить и так далее
text@vad1961m	@vad1961m	80.202	81.964	или там кот сидит перед холодильником
text@vad1961m	@vad1961m	82.518	87.873	и глядит на него гипнотизирует // и типа / там сосиски лежат да или там ещё что-нибудь рыба какая-нибудь
text@vad1961m	@vad1961m	88.41	91.648	это же // и те же шимпанзе да ? как они прекрасно прогнозируют
text@vad1961m	@vad1961m	91.648	93.44	значит самец низкого ранга
text@vad1961m	@vad1961m	93.883	94.594	эээ
text@vad1961m	@vad1961m	94.999	97.558	он подставляет самца среднего ранга
text@vad1961m	@vad1961m	97.961	111.986	как он это делает // он /  придирается к самцу ну / как бы так как-то вот вот / ну в общем / портит жизнь самцу среднего ранга тот в конце концов не выдерживает / начинает значит за ним гнаться а этот / младшенький он не просто бежит а он бежит мимо вожака
text@vad1961m	@vad1961m	112.847	119.627	и вожак стаи // так кто это без моего ведома тут кого-то мутузит хвать этого среднего за шиворот / и это самое / оплеухи
text@vad1961m	@vad1961m	120.027	122.347	и всё ранг стреднего уже понизился
text@vad1961m	@vad1961m	122.437	126.377	пару раз такое сделаешь и как бы сам подрос / и этот понизился
text@vad1961m	@vad1961m	126.678	135.978	и вот / таких историй когда // явно да эээ обезьяний мозг прогнозирует последствия / своего поведения поведения других // их довольно много
text@vad1961m	@vad1961m	135.98	137.834	значит / у них там тоже эта модель есть
text@vad1961m	@vad1961m	138.536	144.858	ну мы / с трудом можем спросить как это происходит хотя ведь есть же // опять же работы на обезьянах когда их учат // говорить
text@vad1961m	@vad1961m	145.267	149.758	языком жестов / или например вот этой клавиатуре есть такой // язык йоркиш да ?
text@vad1961m	@vad1961m	149.758	152.701	и там прямо // показано что // они мечтают
text@vad1961m	@vad1961m	153.064	159.694	они вспоминают например там // ууу одна там не знаю шимпанзе жила с котёночком а котёночка увезли в ветеринарную клинику
text@vad1961m	@vad1961m	159.828	162.528	она пишет да а где котёночек там ой там ой
text@vad1961m	@vad1961m	162.79	167.03	вот // или например они там не знаю не знаю шутят да ? или или ругаются
text@vad1961m	@vad1961m	167.273	172.212	ну например там // служитель обидел шимпанзе // и она набирает грязный Джек грязный Джек
text@vad1961m	@vad1961m	172.43	173.747	то есть она не умела ругаться
text@vad1961m	@vad1961m	173.747	179.109	его зовут Джек / слово грязный несёт негативную эмоциональную окраску / она вязла это и соединила
text@vad1961m	@vad1961m	179.263	180.45	это же уже ругательство !
text@vad1961m	@vad1961m	180.857	183.705	то есть у неё там какие-то вот такие модельные представления есть
text@vad1961m	@vad1961m	183.707	184.471	вот / ну н... а у н...
text@vad1961m	@vad1961m	186.217	188.306	а у н... // а у нас - то
text@vad1961m	@vad1961m	188.655	194.577	 а у нас - то этого много-много и вот вы // вечером / да / как психологи советуют умные 
text@vad1961m	@vad1961m	195.637	199.592	перед тем как уснуть // вы чётко формулируете да ? некий вопрос
text@vad1961m	@vad1961m	200.256	201.477	мозг говорите вы ему 
text@vad1961m	@vad1961m	201.532	203.281	моя дорогая любимая нейросеть
text@vad1961m	@vad1961m	203.373	205.935	я пока буду спать я как личность да
text@vad1961m	@vad1961m	206.112	215.113	вот / ты ж всё равно будешь сны видеть ты пожалуйста посчитай вероятность того что будет если вот / то - то и то - то и то - то я сделаю в такую - то такую - то ситуацию попаду
text@vad1961m	@vad1961m	215.154	224.116	и вы вот это самое просыпаетесь а ответы готовы поэтому / опять же те же психологи говорят // если / важное решение ни в коем случае не надо принимать его сегодня
text@vad1961m	@vad1961m	224.715	228.4	поспите с ним да поспите а лучше пару ночей поспите
text@vad1961m	@vad1961m	228.4	239.159	нет понятно что если надо там не знаю рубашку в магазине купить то // это самое а вот если вы там / девушке предложение делать собрались там / ипотеку брать / это вот / так вот с бухты-барахты нельзя
text@vad1961m	@vad1961m	239.589	241.589	это надо / поспать с этим
text@vad1961m	@vad1961m	253.975	256.795	да в ней не больше сознательности чем во всём остальном
text@vad1961m	@vad1961m	256.898	262.74	прокрастинация это когда вы // вместо // деятельности правильной и нужной какой-нибудь фигнёй занимаетесь
text@vad1961m	@vad1961m	262.762	267.512	книжки н на полочки выставляете по аа алфавиту или там по цвету обложек
text@vad1961m	@vad1961m	267.898	274.801	вот или там внезапно ээ кому-то ээ начали помогать или там какое-нибудь письмо писать / вместо того чтоб заниматься тем что по-настоящему нужно
text@vad1961m	@vad1961m	274.95	279.771	и то между прочим сейчас // ммм вот / ээ я так общаюсь отпять же с психологами
text@vad1961m	@vad1961m	279.771	285.338	а они / щас стали часто говорить об активной прокрастинации в которой // типа и ничего плохого нету
text@vad1961m	@vad1961m	285.554	293.913	то есть вы / если вы / объективно оцениваете более-менее объективно да / трудность задачи // и ваши собственные ресурсы
text@vad1961m	@vad1961m	294.286	300.055	и вам говорят так на этой неделе ты должен там написать нам условно сценарий вот вот такого - то этого самого
text@vad1961m	@vad1961m	300.144	301.532	или там научную статью
text@vad1961m	@vad1961m	301.801	304.264	вы можете сказать себе / да вообще я за три дня успею !
text@vad1961m	@vad1961m	304.667	310.816	и первые там несколько дней да / ну не то что гонять балду но заниматься какими-то / более короткими делами
text@vad1961m	@vad1961m	310.824	315.017	потому что / наш мозг конечно любит / награду которая / ну близко
text@vad1961m	@vad1961m	315.499	319.566	вот эта концепция отставленной награды да это такая непростая штука
text@vad1961m	@vad1961m	319.791	323.959	хотя даже попугаи между прочим / пойманы на том что у них это есть
